Date,Price,prix_log,interpolate,interpolate_log
2019-05-08,5755.72,8.657949421931772,7033.7614288744035,8.858476895608355
2019-05-11,6348.02,8.75589823223995,7070.156009478526,8.863637825051477
2019-05-14,7823.11,8.964837452688103,7106.706718281407,8.868794225376476
2019-05-17,7885.96,8.972839242144719,7143.414087217078,8.873946104525686
2019-05-20,8193.7,9.01112084528134,7180.278649563136,8.879093470420571
2019-05-23,7625.93,8.939309561251331,7217.300939942937,8.884236330961798
2019-05-26,8071.45,8.996088422942952,7254.481494327848,8.889374694029314
2019-05-29,8719.88,9.073360755340445,7291.820850039302,8.894508567482397
2019-06-01,8553.81,9.054132076709445,7329.319545751053,8.899637959159733
2019-06-04,8134.92,9.003921185554384,7366.978121491702,8.90476287687953
2019-06-07,7803.23,8.962293029524982,7404.797118646392,8.90988332843952
2019-06-10,7640.61,8.941232721905227,7442.777079959606,8.914999321617103
2019-06-13,8173.06,9.008598658734748,7480.918549536815,8.920110864169345
2019-06-16,8859.47,9.089242222396782,7519.222072847122,8.925217963833106
2019-06-19,9076.18,9.113408678228412,7557.688196725341,8.930320628325084
2019-06-22,10209.38,9.23106218453526,7596.317469374235,8.935418865341894
2019-06-25,11017.5,9.307240196716142,7635.110440366752,8.940512682560133
2019-06-28,11132.85,9.31765547618065,7674.067660648166,8.945602087636438
2019-07-01,10737.73,9.281518986319211,7713.189682538593,8.950687088207594
2019-07-04,11984.76,9.391391121636692,7752.477059734757,8.955767691890543
2019-07-07,11232.04,9.326525687512813,7791.930347312627,8.960843906282498
2019-07-10,12586.78,9.440402335788077,7831.550101729682,8.965915738961023
2019-07-13,11803.97,9.376191194548248,7871.336880826729,8.970983197484038
2019-07-16,10873.5,9.294083915409042,7911.291243830563,8.976046289389949
2019-07-19,10638.56,9.27224041539071,7951.41375135602,8.981105022197681
2019-07-22,10587.41,9.26742083833386,7991.704965408307,8.986159403406766
2019-07-25,9772.17,9.187293828869782,8032.165449385114,8.991209440497386
2019-07-28,9473.99,9.156305427962769,8072.795768079073,8.996255140930465
2019-07-31,9589.13,9.168385444262743,8113.596487679761,9.00129651214771
2019-08-03,10529.55,9.261940869172118,8154.568175776105,9.006333561571694
2019-08-06,11787.99,9.3748364955369,8195.711401358747,9.011366296605928
2019-08-09,11996.41,9.392362717344197,8237.026734821931,9.016394724634893
2019-08-12,11566.84,9.355897662745337,8278.514747966225,9.021418853024151
2019-08-15,10016.96,9.212034935392252,8320.176014000359,9.026438689120369
2019-08-18,10214.52,9.231565516426672,8362.011107543778,9.031454240251406
2019-08-21,10760.56,9.283642876971166,8404.020604628844,9.036465513726384
2019-08-24,10405.81,9.25011958298665,8446.20508270292,9.041472516835718
2019-08-27,10360.28,9.245734542475278,8488.565120630816,9.04647525685121
2019-08-30,9484.55,9.157419437912068,8531.101298697004,9.0514737410261
2019-09-02,9769.79,9.187050250435298,8573.814198608015,9.056467976595151
2019-09-05,10584.16,9.267113822838503,8616.704403494477,9.061457970774676
2019-09-08,10487.21,9.257911698426511,8659.772497913522,9.066443730762622
2019-09-11,10101.03,9.220392677827745,8703.019067850944,9.071425263738618
2019-09-14,10363.9,9.246083892851198,8746.444700723749,9.07640257686407
2019-09-17,10265.63,9.236556701169361,8790.049985382135,9.081375677282182
2019-09-20,10275.88,9.237554680465989,8833.83551211192,9.086344572118044
2019-09-23,10033.05,9.213639922467467,8877.801872636783,9.091309268478682
2019-09-26,8432.23,9.03981654744898,8921.94966012057,9.096269773453123
2019-09-29,8225.0,9.014933575633572,8966.279469169616,9.101226094112462
2019-10-02,8322.92,9.026768433781122,9010.791895834736,9.106178237509887
2019-10-05,8155.48,9.006445372918296,9055.487537614117,9.111126210680808
2019-10-08,8212.02,9.01335421359616,9100.366993454949,9.116070020642844
2019-10-11,8586.9,9.057993065094019,9145.430863756135,9.121009674395928
2019-10-14,8283.76,9.022052250584446,9190.67975037056,9.125945178922365
2019-10-17,8002.51,8.987510521452734,9236.11425660704,9.13087654118685
2019-10-20,7960.04,8.982189303951431,9281.734987233052,9.135803768136583
2019-10-23,8026.76,8.990536238594022,9327.54254847689,9.1407268667013
